Date,Symbol,Open,Volume
2009-12-31,AMZN,136.25,7599900.0
2010-01-04,AMZN,136.25,7599900.0
2010-01-05,AMZN,133.42999267578125,8851900.0
2010-01-06,AMZN,134.60000610351562,7178800.0
2010-01-07,AMZN,132.00999450683594,11030200.0
2010-01-08,AMZN,130.55999755859375,9830500.0
2010-01-11,AMZN,132.6199951171875,8779400.0
2010-01-12,AMZN,128.99000549316406,9096300.0
2010-01-13,AMZN,127.9000015258789,10723200.0
2010-01-14,AMZN,129.13999938964844,9774900.0
2010-01-15,AMZN,129.17999267578125,15376500.0
2010-01-19,AMZN,126.30999755859376,8892600.0
2010-01-20,AMZN,127.12999725341795,9074700.0
2010-01-21,AMZN,127.26000213623048,9970600.0
2010-01-22,AMZN,125.5999984741211,11568900.0
2010-01-25,AMZN,122.0999984741211,12023900.0
2010-01-26,AMZN,120.55999755859376,9559000.0
2010-01-27,AMZN,121.02999877929688,14765300.0
2010-01-28,AMZN,124.43000030517578,27293100.0
2010-01-29,AMZN,129.77000427246094,29471300.0
2010-02-01,AMZN,123.18000030517578,37774400.0
2010-02-02,AMZN,118.79000091552734,23079700.0
2010-02-03,AMZN,117.12000274658205,12405900.0
2010-02-04,AMZN,118.63999938964844,12784000.0
2010-02-05,AMZN,115.87999725341795,11024800.0
2010-02-08,AMZN,119.37999725341795,9890200.0
2010-02-09,AMZN,118.1999969482422,9223000.0
2010-02-10,AMZN,118.0,6233200.0
2010-02-11,AMZN,117.20999908447266,8343500.0
2010-02-12,AMZN,118.98999786376952,8073500.0
2010-02-16,AMZN,120.05999755859376,8932700.0
2010-02-17,AMZN,117.06999969482422,8944800.0
2010-02-18,AMZN,115.83999633789062,9800100.0
2010-02-19,AMZN,117.91000366210938,7115600.0
2010-02-22,AMZN,117.37000274658205,6807300.0
2010-02-23,AMZN,118.01000213623048,7068200.0
2010-02-24,AMZN,117.95999908447266,7389900.0
2010-02-25,AMZN,118.16999816894533,9533400.0
2010-02-26,AMZN,117.87999725341795,5721600.0
2010-03-01,AMZN,118.6999969482422,13296500.0
2010-03-02,AMZN,125.01000213623048,12097500.0
2010-03-03,AMZN,125.4000015258789,6440400.0
2010-03-04,AMZN,125.9800033569336,7509700.0
2010-03-05,AMZN,129.1300048828125,6769300.0
2010-03-08,AMZN,128.3000030517578,5605900.0
2010-03-09,AMZN,129.58999633789062,6070800.0
2010-03-10,AMZN,129.11000061035156,5625700.0
2010-03-11,AMZN,130.4499969482422,7240800.0
2010-03-12,AMZN,134.1999969482422,6150800.0
2010-03-15,AMZN,131.6999969482422,6329200.0
2010-03-16,AMZN,131.24000549316406,4132500.0
2010-03-17,AMZN,132.41000366210938,4358800.0
2010-03-18,AMZN,131.02000427246094,5021300.0
2010-03-19,AMZN,133.7100067138672,8905000.0
2010-03-22,AMZN,130.1999969482422,5383400.0
2010-03-23,AMZN,130.88999938964844,4213100.0
2010-03-24,AMZN,128.63999938964844,4696400.0
2010-03-25,AMZN,129.13999938964844,16209600.0
2010-03-26,AMZN,134.89999389648438,6565700.0
2010-03-29,AMZN,135.3699951171875,4626900.0
2010-03-30,AMZN,135.74000549316406,6192700.0
2010-03-31,AMZN,136.0,4600600.0
2010-04-01,AMZN,135.8000030517578,8785800.0
2010-04-05,AMZN,132.85000610351562,5816500.0
2010-04-06,AMZN,131.22999572753906,7950300.0
2010-04-07,AMZN,135.9600067138672,5945400.0
2010-04-08,AMZN,134.7100067138672,12689100.0
2010-04-09,AMZN,140.72000122070312,6011100.0
2010-04-12,AMZN,140.0,5445300.0
